plot,typeKey,typeShort,typeCode,typeFull,deed,houseNo,area,areaAdd,priceStart,priceDiff,priceNet,apprSCB,status,note
แปลง,ไทป์,ชื่อไทป์,รหัสไทป์,ไทป์เต็ม,เลขโฉนด,บ้านเลขที่,เนื้อที่(ตร.ว.),เนื้อที่เพิ่ม,ราคาตั้งต้น,ราคาส่วนเพิ่ม,ราคาขายสุทธิ,ราคาประเมินSCB,สถานะการขาย,หมายเหตุ
1,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247056,89/1,51.8,1.7999999999999972,3790000,153999.9999999999,3944000,4791800,ว่าง,
2,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247057,89/2,51,1,3790000,30000,3820000,4674000,โอนแล้ว,โอน 20 มี.ค.69
3,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247058,89/3,51,1,3790000,30000,3820000,4674000,โอนแล้ว,โอน 20 มี.ค.69
4,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247059,89/4,81.2,31.200000000000003,3790000,724000,4514000,5629700,โอนแล้ว,โอน 27 มี.ค.69
5,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247060,89/5,80.8,30.799999999999997,3990000,1023999.9999999999,5014000,5618300,สัญญา,
6,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247061,89/6,51,1,3790000,30000,3820000,4674000,สัญญา,
7,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247062,89/7,51,1,3790000,30000,3820000,4674000,ว่าง,
8,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247063,89/8,60.5,10.5,3790000,415000,4205000,5039750,สัญญา,
9,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247064,89/9,73.3,23.299999999999997,3790000,798999.9999999999,4589000,5499550,สัญญา,
10,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247065,89/10,51,1,3790000,30000,3820000,4674000,สัญญา,
11,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247066,89/11,51,1,3790000,30000,3820000,4674000,ว่าง,
12,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247067,89/12,51,1,3790000,30000,3820000,4674000,ว่าง,
13,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247068,89/13,104,54,3790000,1720000,5510000,6374500,ว่าง,
14,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247069,89/14,90.8,40.8,3790000,1324000,5114000,5998300,ว่าง,
15,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247070,89/15,51,1,3790000,30000,3820000,4674000,ว่าง,
16,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247071,89/16,51,1,3790000,30000,3820000,4674000,ว่าง,
17,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247072,89/17,51,1,3790000,30000,3820000,4674000,ว่าง,
18,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247073,89/18,51,1,3790000,30000,3820000,4674000,ว่าง,
19,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247074,89/19,51.7,1.7000000000000028,3790000,151000.0000000001,3941000,4883950,สัญญา,
20,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247075,89/20,51.1,1.1000000000000014,3790000,133000.00000000006,3923000,4866850,ว่าง,
21,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247076,89/21,51,1,3790000,30000,3820000,4674000,ว่าง,
22,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247077,89/22,51,1,3790000,30000,3820000,4674000,ว่าง,
23,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247078,89/23,51,1,3790000,30000,3820000,4674000,ว่าง,
24,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247079,89/24,51,1,3790000,30000,3820000,4674000,ว่าง,
25,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247080,89/25,51,1,3790000,30000,3820000,4674000,ว่าง,
26,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247081,89/26,65.6,15.599999999999994,3790000,567999.9999999998,4358000,5207000,ว่าง,
27,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247082,89/27,76.5,26.5,3790000,895000,4685000,5534000,ว่าง,
28,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247083,89/28,51,1,3790000,30000,3820000,4674000,ว่าง,
29,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247084,89/29,51,1,3790000,30000,3820000,4674000,ว่าง,
30,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247085,89/30,51,1,3790000,30000,3820000,4674000,ว่าง,
31,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,,89/31,51,1,3790000,30000,3820000,4674000,ว่าง,
32,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247086,89/32,51,1,3790000,30000,3820000,4674000,ว่าง,
33,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247087,89/33,59.8,9.799999999999997,3790000,393999.99999999994,4184000,5033000,ว่าง,
34,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247088,89/34,67.3,17.299999999999997,3790000,619000,4409000,5258000,ว่าง,
35,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247089,89/35,51,1,3790000,30000,3820000,4674000,ว่าง,
36,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247090,89/36,51,1,3790000,30000,3820000,4674000,ว่าง,
37,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247091,89/37,51,1,3790000,30000,3820000,4674000,ว่าง,
38,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247092,89/38,51,1,3790000,30000,3820000,4674000,ว่าง,
39,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247093,89/39,51,1,3790000,30000,3820000,4674000,ว่าง,
40,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247094,89/40,79.8,29.799999999999997,3790000,993999.9999999999,4784000,5633000,ว่าง,
41,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247095,89/41,71.2,21.200000000000003,3790000,736000.0000000001,4526000,5375000,ว่าง,
42,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247096,89/42,51,1,3790000,30000,3820000,4674000,ว่าง,
43,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247097,89/43,51,1,3790000,30000,3820000,4674000,ว่าง,
44,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247098,89/44,51,1,3790000,30000,3820000,4674000,ว่าง,
45,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247099,89/45,51,1,3790000,30000,3820000,4674000,ว่าง,
46,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247100,89/46,51,1,3790000,30000,3820000,4674000,ว่าง,
47,A,บ้านเดี่ยว 2 ชั้น,A ULTRA,A ULTRA บ้านเดี่ยว2ชั้น,247101,89/47,71.2,21.200000000000003,3790000,736000.0000000001,4526000,5375000,ว่าง,
48,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247102,89/48,57.6,7.600000000000001,2850000,328000,3178000,3874100,ว่าง,
49,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247103,89/49,60.6,10.600000000000001,2850000,418000.00000000006,3268000,3959600,ว่าง,
50,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247104,89/50,56.8,6.799999999999997,2850000,303999.9999999999,3154000,3851300,ว่าง,
51,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247105,89/51,59.9,9.899999999999999,2850000,396999.99999999994,3247000,3939650,ว่าง,
52,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247106,89/52,50.3,0.29999999999999716,2850000,108999.99999999991,2959000,3666050,ว่าง,
53,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247107,89/53,53.4,3.3999999999999986,2850000,201999.99999999994,3052000,3754400,ว่าง,
54,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247108,89/54,50.1,0.10000000000000142,2850000,103000.00000000004,2953000,3660350,ว่าง,
55,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247109,89/55,51.3,1.2999999999999972,2850000,138999.9999999999,2989000,3694550,ว่าง,
56,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247110,89/56,50.2,0.20000000000000284,2850000,106000.00000000009,2956000,3663200,ว่าง,
57,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247111,89/57,53.3,3.299999999999997,2850000,198999.9999999999,3049000,3751550,ว่าง,
58,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247112,89/58,52.4,2.3999999999999986,2850000,171999.99999999994,3022000,3725900,ว่าง,
59,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247113,89/59,55.5,5.5,2850000,265000,3115000,3814250,สัญญา,
60,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247114,89/60,60.2,10.200000000000003,2850000,406000.00000000006,3256000,3948200,สัญญา,
61,B,บ้านเดี่ยวชั้นเดียว,B MINUTES,B MUNUTESบ้านเดี่ยวชั้นเดียว,247115,89/61,63.3,13.299999999999997,2850000,498999.99999999994,3349000,4036550,สัญญา,
62,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247116,89/62,74.5,39.5,2390000,1285000,3675000,4345750,ว่าง,
63,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247117,89/63,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
64,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247118,89/64,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
65,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247119,89/65,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
66,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247120,89/66,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
67,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247121,89/67,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
68,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247122,89/68,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
69,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247123,89/69,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
70,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247124,89/70,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
71,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247125,89/71,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
72,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247126,89/72,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
73,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247127,89/73,51.9,16.9,2390000,607000,2997000,3701650,ว่าง,
74,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247128,89/74,52.1,17.1,2390000,613000,3003000,3707350,ว่าง,
75,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247129,89/75,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
76,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247130,89/76,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
77,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247131,89/77,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
78,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247132,89/78,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
79,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247133,89/79,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
80,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247134,89/80,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
81,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247135,89/81,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
82,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247136,89/82,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
83,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247137,89/83,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
84,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247138,89/84,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
85,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247139,89/85,46.4,11.399999999999999,2390000,441999.99999999994,2832000,3544900,ว่าง,
86,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247140,89/86,52.4,17.4,2390000,622000,3012000,3715900,ว่าง,
87,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247141,89/87,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
88,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247142,89/88,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
89,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247143,89/89,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
90,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247144,89/90,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
91,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247145,89/91,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
92,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247146,89/92,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
93,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247147,89/93,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
94,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247148,89/94,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
95,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247149,89/95,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
96,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247150,89/96,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
97,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247151,89/97,48.2,13.200000000000003,2390000,496000.00000000006,2886000,3596200,ว่าง,
98,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247152,89/98,47.7,12.700000000000003,2390000,481000.00000000006,2871000,3581950,ว่าง,
99,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247153,89/99,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
100,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247154,89/100,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
101,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247155,89/101,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
102,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247156,89/102,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
103,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247157,89/103,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
104,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247158,89/104,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
105,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247159,89/105,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
106,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247160,89/106,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
107,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247161,89/107,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
108,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247162,89/108,41.2,6.200000000000003,2390000,186000.0000000001,2576000,3301700,ว่าง,
109,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247163,89/109,46.8,11.799999999999997,2390000,453999.99999999994,2844000,3556300,ว่าง,
110,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247164,89/110,48.9,13.899999999999999,2390000,516999.99999999994,2907000,3616150,ว่าง,
111,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247165,89/111,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
112,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247166,89/112,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
113,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247167,89/113,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
114,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247168,89/114,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
115,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247169,89/115,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
116,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247170,89/116,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
117,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247171,89/117,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
118,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247172,89/118,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
119,C,บ้านแฝดชั้นเดียว,C SECOND,C SECONDบ้านแฝดชั้นเดียว,247173,89/119,41.3,6.299999999999997,2390000,188999.9999999999,2579000,3304550,ว่าง,
